folder,name,png,webp,left,top,right,bottom,width,height
00_full_screen,dashboard_full,00_full_screen/dashboard_full.png,00_full_screen/dashboard_full.webp,0,0,941,1672,941,1672
00_sections,header_full,00_sections/header_full.png,00_sections/header_full.webp,0,0,941,258,941,258
00_sections,saldo_dan_aksi_full,00_sections/saldo_dan_aksi_full.png,00_sections/saldo_dan_aksi_full.webp,37,258,893,565,856,307
00_sections,banner_utama_full,00_sections/banner_utama_full.png,00_sections/banner_utama_full.webp,38,580,893,837,855,257
00_sections,layanan_favorit_full,00_sections/layanan_favorit_full.png,00_sections/layanan_favorit_full.webp,38,856,894,1069,856,213
00_sections,aktivitas_terakhir_full,00_sections/aktivitas_terakhir_full.png,00_sections/aktivitas_terakhir_full.webp,38,1086,894,1375,856,289
00_sections,promo_bawah_full,00_sections/promo_bawah_full.png,00_sections/promo_bawah_full.webp,38,1390,893,1526,855,136
00_sections,navigasi_bawah_full,00_sections/navigasi_bawah_full.png,00_sections/navigasi_bawah_full.webp,0,1541,941,1672,941,131
01_header,logo_symbol,01_header/logo_symbol.png,01_header/logo_symbol.webp,62,20,132,91,70,71
01_header,logo_wordmark_tagline,01_header/logo_wordmark_tagline.png,01_header/logo_wordmark_tagline.webp,141,22,371,88,230,66
01_header,logo_lengkap,01_header/logo_lengkap.png,01_header/logo_lengkap.webp,61,18,374,92,313,74
01_header,icon_notifikasi,01_header/icon_notifikasi.png,01_header/icon_notifikasi.webp,710,25,776,92,66,67
01_header,icon_profil,01_header/icon_profil.png,01_header/icon_profil.webp,795,20,870,94,75,74
01_header,sapaan_judul,01_header/sapaan_judul.png,01_header/sapaan_judul.webp,62,133,453,177,391,44
01_header,sapaan_subjudul,01_header/sapaan_subjudul.png,01_header/sapaan_subjudul.webp,62,178,532,235,470,57
01_header,sapaan_lengkap,01_header/sapaan_lengkap.png,01_header/sapaan_lengkap.webp,61,132,535,237,474,105
01_header,ilustrasi_ruang_tamu,01_header/ilustrasi_ruang_tamu.png,01_header/ilustrasi_ruang_tamu.webp,558,87,917,268,359,181
01_header,tagline_tulisan_tangan,01_header/tagline_tulisan_tangan.png,01_header/tagline_tulisan_tangan.webp,601,97,755,187,154,90
01_header,ilustrasi_sofa_kucing,01_header/ilustrasi_sofa_kucing.png,01_header/ilustrasi_sofa_kucing.webp,575,174,787,274,212,100
01_header,ilustrasi_lampu_tanaman,01_header/ilustrasi_lampu_tanaman.png,01_header/ilustrasi_lampu_tanaman.webp,764,103,919,273,155,170
01_header_transparan,logo_symbol_transparan,01_header_transparan/logo_symbol_transparan.png,01_header_transparan/logo_symbol_transparan.webp,62,20,132,91,70,71
10_icon_256,logo_symbol_256,10_icon_256/logo_symbol_256.png,10_icon_256/logo_symbol_256.webp,,,,,256,256
01_header_transparan,logo_wordmark_tagline_transparan,01_header_transparan/logo_wordmark_tagline_transparan.png,01_header_transparan/logo_wordmark_tagline_transparan.webp,141,22,371,88,230,66
10_icon_256,logo_wordmark_tagline_256,10_icon_256/logo_wordmark_tagline_256.png,10_icon_256/logo_wordmark_tagline_256.webp,,,,,256,256
01_header_transparan,logo_lengkap_transparan,01_header_transparan/logo_lengkap_transparan.png,01_header_transparan/logo_lengkap_transparan.webp,61,18,374,92,313,74
10_icon_256,logo_lengkap_256,10_icon_256/logo_lengkap_256.png,10_icon_256/logo_lengkap_256.webp,,,,,256,256
01_header_transparan,icon_notifikasi_transparan,01_header_transparan/icon_notifikasi_transparan.png,01_header_transparan/icon_notifikasi_transparan.webp,710,25,776,92,66,67
10_icon_256,icon_notifikasi_256,10_icon_256/icon_notifikasi_256.png,10_icon_256/icon_notifikasi_256.webp,,,,,256,256
01_header_transparan,icon_profil_transparan,01_header_transparan/icon_profil_transparan.png,01_header_transparan/icon_profil_transparan.webp,795,20,870,94,75,74
10_icon_256,icon_profil_256,10_icon_256/icon_profil_256.png,10_icon_256/icon_profil_256.webp,,,,,256,256
02_saldo_dan_aksi,saldo_card_full,02_saldo_dan_aksi/saldo_card_full.png,02_saldo_dan_aksi/saldo_card_full.webp,38,258,893,447,855,189
02_saldo_dan_aksi,saldo_icon_wallet,02_saldo_dan_aksi/saldo_icon_wallet.png,02_saldo_dan_aksi/saldo_icon_wallet.webp,64,293,151,365,87,72
02_saldo_dan_aksi,saldo_judul_dan_nominal,02_saldo_dan_aksi/saldo_judul_dan_nominal.png,02_saldo_dan_aksi/saldo_judul_dan_nominal.webp,164,286,467,405,303,119
02_saldo_dan_aksi,saldo_icon_mata,02_saldo_dan_aksi/saldo_icon_mata.png,02_saldo_dan_aksi/saldo_icon_mata.webp,308,294,356,338,48,44
02_saldo_dan_aksi,saldo_deskripsi,02_saldo_dan_aksi/saldo_deskripsi.png,02_saldo_dan_aksi/saldo_deskripsi.webp,164,398,457,438,293,40
02_saldo_dan_aksi,tombol_isi_saldo,02_saldo_dan_aksi/tombol_isi_saldo.png,02_saldo_dan_aksi/tombol_isi_saldo.webp,651,337,859,407,208,70
02_saldo_dan_aksi,dekorasi_saldo_card,02_saldo_dan_aksi/dekorasi_saldo_card.png,02_saldo_dan_aksi/dekorasi_saldo_card.webp,490,259,892,447,402,188
02_saldo_dan_aksi,bar_aksi_full,02_saldo_dan_aksi/bar_aksi_full.png,02_saldo_dan_aksi/bar_aksi_full.webp,38,462,893,566,855,104
02_saldo_dan_aksi,aksi_isi_saldo,02_saldo_dan_aksi/aksi_isi_saldo.png,02_saldo_dan_aksi/aksi_isi_saldo.webp,59,477,321,551,262,74
02_saldo_dan_aksi,aksi_transfer,02_saldo_dan_aksi/aksi_transfer.png,02_saldo_dan_aksi/aksi_transfer.webp,346,477,605,551,259,74
02_saldo_dan_aksi,aksi_riwayat,02_saldo_dan_aksi/aksi_riwayat.png,02_saldo_dan_aksi/aksi_riwayat.webp,625,477,882,551,257,74
02_saldo_dan_aksi,aksi_icon_isi_saldo,02_saldo_dan_aksi/aksi_icon_isi_saldo.png,02_saldo_dan_aksi/aksi_icon_isi_saldo.webp,61,481,127,546,66,65
02_saldo_dan_aksi,aksi_icon_transfer,02_saldo_dan_aksi/aksi_icon_transfer.png,02_saldo_dan_aksi/aksi_icon_transfer.webp,348,481,414,546,66,65
02_saldo_dan_aksi,aksi_icon_riwayat,02_saldo_dan_aksi/aksi_icon_riwayat.png,02_saldo_dan_aksi/aksi_icon_riwayat.webp,628,481,694,546,66,65
02_saldo_transparan,saldo_icon_wallet_transparan,02_saldo_transparan/saldo_icon_wallet_transparan.png,02_saldo_transparan/saldo_icon_wallet_transparan.webp,64,293,151,365,87,72
10_icon_256,saldo_icon_wallet_256,10_icon_256/saldo_icon_wallet_256.png,10_icon_256/saldo_icon_wallet_256.webp,,,,,256,256
02_saldo_transparan,aksi_icon_isi_saldo_transparan,02_saldo_transparan/aksi_icon_isi_saldo_transparan.png,02_saldo_transparan/aksi_icon_isi_saldo_transparan.webp,61,481,127,546,66,62
10_icon_256,aksi_icon_isi_saldo_256,10_icon_256/aksi_icon_isi_saldo_256.png,10_icon_256/aksi_icon_isi_saldo_256.webp,,,,,256,256
02_saldo_transparan,aksi_icon_transfer_transparan,02_saldo_transparan/aksi_icon_transfer_transparan.png,02_saldo_transparan/aksi_icon_transfer_transparan.webp,348,481,414,546,58,62
10_icon_256,aksi_icon_transfer_256,10_icon_256/aksi_icon_transfer_256.png,10_icon_256/aksi_icon_transfer_256.webp,,,,,256,256
02_saldo_transparan,aksi_icon_riwayat_transparan,02_saldo_transparan/aksi_icon_riwayat_transparan.png,02_saldo_transparan/aksi_icon_riwayat_transparan.webp,628,481,694,546,58,62
10_icon_256,aksi_icon_riwayat_256,10_icon_256/aksi_icon_riwayat_256.png,10_icon_256/aksi_icon_riwayat_256.webp,,,,,256,256
03_banner_utama,banner_full,03_banner_utama/banner_full.png,03_banner_utama/banner_full.webp,38,580,893,837,855,257
03_banner_utama,banner_teks_kiri,03_banner_utama/banner_teks_kiri.png,03_banner_utama/banner_teks_kiri.webp,70,607,393,792,323,185
03_banner_utama,banner_tombol_bayar,03_banner_utama/banner_tombol_bayar.png,03_banner_utama/banner_tombol_bayar.webp,69,753,309,810,240,57
03_banner_utama,banner_ilustrasi_rumah,03_banner_utama/banner_ilustrasi_rumah.png,03_banner_utama/banner_ilustrasi_rumah.webp,399,614,890,832,491,218
03_banner_utama,banner_icon_petir,03_banner_utama/banner_icon_petir.png,03_banner_utama/banner_icon_petir.webp,500,594,640,720,140,126
03_banner_utama,banner_catatan_tagihan,03_banner_utama/banner_catatan_tagihan.png,03_banner_utama/banner_catatan_tagihan.webp,681,601,884,712,203,111
03_banner_utama,banner_dots,03_banner_utama/banner_dots.png,03_banner_utama/banner_dots.webp,430,801,510,830,80,29
